#  NAME - LINK - DETAILS

# Patches for dwm
dmenu https://tools.suckless.org/dmenu/patches/colored/dmenu-colored-5.0.diff        "Colored - Add color support to menu items"
dmenu https://tools.suckless.org/dmenu/patches/dmenu-bash/dmenu-bash-5.0.diff      "Bash Completion - Enable Bash completion in dmenu"
dmenu https://tools.suckless.org/dmenu/patches/multi-select/dmenu-multi-select-5.0.diff "Multi-Select - Allow selecting multiple items"
dmenu https://tools.suckless.org/dmenu/patches/vertical-scroll/dmenu-vertical-scroll-5.0.diff "Vertical Scroll - Enable vertical scrolling in menu"

# Patches for st
st    https://st.suckless.org/patches/scrolling/st-scrolling-0.8.diff              "Scrolling - Enable mouse scrolling support"
st    https://st.suckless.org/patches/xresources/st-xresources-0.8.diff            "Xresources - Add Xresources support"
st    https://st.suckless.org/patches/truecolor/st-truecolor-0.8.diff              "True Color - Add true color support for better visuals"
st    https://st.suckless.org/patches/scratchpad/st-scratchpad-0.8.diff            "Scratchpad - Add scratchpad functionality"
st    https://st.suckless.org/patches/font2/st-font2-0.8.diff                      "Font2 - Add support for additional font features"
st    https://st.suckless.org/patches/copyurl/st-copyurl-0.8.diff                  "Copy URL - Enable copying URLs from terminal"
st    https://st.suckless.org/patches/blur/st-blur-0.8.diff                        "Blur Background - Add a blur effect to the terminal"
st    https://st.suckless.org/patches/vim-st/st-vim-0.8.diff                        "Vim Support - Add features for better Vim integration"
st    https://st.suckless.org/patches/keyboard/st-keyboard-0.8.diff                "Keyboard Shortcuts - Add custom keyboard shortcuts"
st    https://st.suckless.org/patches/dynamic-fonts/st-dynamic-fonts-0.8.diff      "Dynamic Fonts - Change fonts on the fly"

# Patches for slstatus
slstatus https://github.com/AdrianRojek/slstatus/commit/8e21db9.diff              "Network Status - Add network status display"
slstatus https://github.com/AdrianRojek/slstatus/commit/26a6cda.diff              "Battery Level - Display battery level for laptops"
slstatus https://github.com/AdrianRojek/slstatus/commit/d7e6532.diff              "CPU Load - Show current CPU load percentage"
slstatus https://github.com/AdrianRojek/slstatus/commit/65b5f12.diff              "Temperature - Display system temperature"
slstatus https://github.com/AdrianRojek/slstatus/commit/b27d196.diff              "Date and Time - Show current date and time"
slstatus https://github.com/AdrianRojek/slstatus/commit/3b70d19.diff              "RAM Usage - Display current RAM usage"
slstatus https://github.com/AdrianRojek/slstatus/commit/fdc0a24.diff              "Disk Usage - Show current disk usage"
slstatus https://github.com/AdrianRojek/slstatus/commit/4b89c48.diff              "Weather - Display current weather information"
slstatus https://github.com/AdrianRojek/slstatus/commit/e88e9c8.diff              "VPN Status - Show VPN connection status"
slstatus https://github.com/AdrianRojek/slstatus/commit/cd3a8f7.diff              "Volume Level - Display current audio volume level"

# Patches for dwmblocks
dwmblocks https://github.com/torrinfail/dwmblocks/commit/5c2de63.diff             "System Load - Add block for system load"
dwmblocks https://github.com/torrinfail/dwmblocks/commit/6c5e9f5.diff             "Customizable Output - Enhance output flexibility for blocks"
dwmblocks https://github.com/torrinfail/dwmblocks/commit/7e2c182.diff             "Memory Usage - Add memory usage block"
dwmblocks https://github.com/torrinfail/dwmblocks/commit/1e3e27a.diff             "Volume Control - Add volume control block"
dwmblocks https://github.com/torrinfail/dwmblocks/commit/8f4d4d7.diff             "Battery Status - Show battery status"
dwmblocks https://github.com/torrinfail/dwmblocks/commit/9a2ef4a.diff             "Disk Space - Display disk space usage"
dwmblocks https://github.com/torrinfail/dwmblocks/commit/ab6b6ff.diff             "Network Speed - Add network speed block"
dwmblocks https://github.com/torrinfail/dwmblocks/commit/b82c6c4.diff             "Clock - Show current time with custom format"
dwmblocks https://github.com/torrinfail/dwmblocks/commit/ea0a0d3.diff             "Updates - Display system update notifications"
dwmblocks https://github.com/torrinfail/dwmblocks/commit/c34f7ea.diff             "Custom Block - Add a custom block script"

# Patches for nnn
nnn   https://github.com/jarun/nnn/commit/59d2aef.diff                             "Preview Feature - Add preview feature for selected files"
nnn   https://github.com/jarun/nnn/commit/cd18c25.diff                             "Bookmark Management - Enable bookmark management for quick access"
nnn   https://github.com/jarun/nnn/commit/a9e1f60.diff                             "Trash Feature - Add trash management capabilities"
nnn   https://github.com/jarun/nnn/commit/48f1e9f.diff                             "Search Function - Implement a search function within nnn"
nnn   https://github.com/jarun/nnn/commit/2a17a50.diff                             "Fuzzy Search - Improve search functionality with fuzzy matching"
nnn   https://github.com/jarun/nnn/commit/3a6e4b3.diff                             "Quick Access - Add quick access for directories"
nnn   https://github.com/jarun/nnn/commit/4a77c62.diff                             "File Management - Enhance file management features"
nnn   https://github.com/jarun/nnn/commit/5b4e88e.diff                             "Custom Scripts - Enable custom scripts integration"
nnn   https://github.com/jarun/nnn/commit/6c79e0e.diff                             "File Operations - Add more file operations capabilities"
nnn   https://github.com/jarun/nnn/commit/7d81234.diff                             "Image Preview - Support image previews in nnn"

# Notes
# To skip a patch, comment it out by placing a '#' at the beginning of the line.
# Ensure application names match those in app_info.txt for proper association.
